filename,xmin,ymin,xmax,ymax,label
img1.png,410,356,469,419,plane
img1.png,635,276,738,380,plane
img1.png,830,46,902,119,plane
img1.png,669,80,715,120,plane
img1.png,58,225,108,272,plane
img1.png,526,279,579,332,plane
img1.png,822,446,870,493,plane
img1.png,591,322,664,400,plane
img1.png,838,227,920,309,plane
img1.png,605,353,661,415,plane
img1.png,775,434,827,484,plane
img1.png,159,467,235,541,plane
img10.png,439,537,475,574,plane
img10.png,156,277,251,376,plane
img10.png,480,480,524,526,plane
img10.png,763,39,860,136,plane
img10.png,50,318,123,392,plane
img10.png,568,324,621,376,plane
img10.png,375,134,420,182,plane
img10.png,490,486,531,528,plane
img10.png,245,493,317,567,plane
img10.png,859,59,909,111,plane
img10.png,839,152,905,221,plane
img100.png,537,69,595,127,plane
img100.png,307,203,343,241,plane
img100.png,820,162,888,229,plane
img100.png,490,97,586,190,plane
img100.png,118,30,193,104,plane
img100.png,201,165,270,228,plane
img101.png,189,202,271,281,plane
img101.png,402,408,442,448,plane
img101.png,379,477,486,584,plane
img101.png,311,221,369,278,plane
img101.png,502,520,571,586,plane
img101.png,83,329,162,398,plane
img101.png,303,327,360,383,plane
img102.png,91,224,128,259,plane
img102.png,206,559,269,625,plane
img102.png,736,603,782,648,plane
img102.png,704,548,756,602,plane
img102.png,565,379,658,471,plane
img102.png,313,454,406,550,plane
img102.png,421,71,466,115,plane
img102.png,800,607,846,654,plane
img102.png,24,567,127,667,plane
img102.png,179,215,263,295,plane
img102.png,94,508,138,551,plane
img103.png,399,321,438,362,plane
img103.png,544,152,622,234,plane
img103.png,417,60,450,93,plane
img103.png,44,482,94,531,plane
img103.png,303,539,385,626,plane
img103.png,689,566,762,638,plane
img103.png,440,361,495,415,plane
img103.png,331,479,418,564,plane
img104.png,786,326,859,397,plane
img104.png,664,540,722,597,plane
img104.png,190,392,229,435,plane
img104.png,594,266,629,305,plane
img104.png,70,493,158,580,plane
img104.png,908,294,947,334,plane
img104.png,51,223,156,327,plane
img105.png,512,210,586,285,plane
img105.png,343,328,436,424,plane
img105.png,510,22,606,117,plane
img105.png,384,126,466,209,plane
img105.png,242,170,311,238,plane
img106.png,501,239,591,328,plane
img106.png,48,573,115,648,plane
img106.png,319,28,386,95,plane
img106.png,628,420,679,471,plane
img106.png,243,363,330,451,plane
img106.png,146,502,188,545,plane
img106.png,663,556,704,598,plane
img106.png,111,421,191,501,plane
img106.png,849,62,911,127,plane
img106.png,56,239,118,298,plane
img106.png,737,88,800,154,plane
img106.png,728,255,784,311,plane
img106.png,384,117,450,185,plane
img106.png,888,187,948,250,plane
img107.png,833,431,905,500,plane
img107.png,356,317,430,394,plane
img107.png,547,252,614,317,plane
img107.png,206,49,275,123,plane
img107.png,494,110,552,167,plane
img107.png,69,174,135,246,plane
img108.png,871,65,928,121,plane
img108.png,55,544,114,600,plane
img108.png,145,45,200,101,plane
img108.png,438,125,487,174,plane
img108.png,390,160,477,247,plane
img108.png,880,442,921,483,plane
img108.png,320,312,376,364,plane
img108.png,96,25,176,104,plane
img108.png,297,102,372,179,plane
img109.png,453,582,518,650,plane
